Zip Codes,Target City,Latitude,Longitude,OBInstID,InstitutionName
63123,Affton,38.5580845,-90.3277829,577405,AFFTON HIGH SCHOOL
63021,Ballwin,38.557323,-90.5352356,1524889,PARKWAY SOUTH HIGH SCHOOL
63137,Bellefontaine Neighbors,38.7479435,-90.2113571,,
63134,Berkeley,38.7415569,-90.3418927,,
63144,Brentwood,38.6157474,-90.3513021,,
63044,Bridgeton,38.767401,-90.4408037,,
63017,Chesterfield,38.6633659,-90.5771493,,
63005,Chesterfield,38.6299452,-90.6962853,,
63105,Clayton,38.6446552,-90.3301342,,
63119,Webster Groves,38.5842641,-90.3513021,,
63126,Crestwood,38.552678,-90.3795438,,
63141,Creve Coeur,38.6624944,-90.4785495,,
63130,University City,38.6682669,-90.3230807,,
63045,Earth City,38.7699175,-90.4667501,,
63025,Eureka,38.5043782,-90.6204165,,
63026,Fenton,38.494606,-90.4596721,,
63135,Ferguson,38.7469318,-90.2901815,,
63031,Florissant,38.8095735,-90.3465971,,
63033,Florissant,38.7888018,-90.2901815,,
63042,Hazelwood,38.7884682,-90.403094,,
63136,Jennings,38.7470186,-90.2526163,,
63140,Kinloch,38.7389857,-90.3254317,,
63122,Kirkwood,38.5787831,-90.4219444,,
63124,Ladue,38.6418687,-90.3842527,,
63125,Lemay,38.5161654,-90.2901815,,
63143,Maplewood,38.6132118,-90.3207299,,
63043,Maryland Heights,38.7254453,-90.4596721,,
63121,Northwoods,38.7102377,-90.3042778,,
63038,Oakville,38.5775338,-90.6867939,,
63130,Wildwood,38.6682669,-90.3230807,,
